,orig_gene,proc_gene
2764,ankdd1a,ankdd1a
2765,spg21,spg21
2766,clpxa,clpxa
2767,pdcd7,pdcd7
2768,kbtbd13,kbtbd13
2769,rasl12,rasl12
2770,abhd2a,abhd2a
2771,rlbp1a,rlbp1a
2772,slc39a1,slc39a1
2773,strc,strc
2774,furina,furina
2775,CR627485.1,CR627485.1
2776,fes,fes
2777,CU467822.1,CU467822.1
2778,rhcga,rhcga
2779,CU467822.3,CU467822.3
2780,CU467822.2,CU467822.2
2781,dre-mir-9-6,dre-mir-9-6
2782,kif7,kif7
2783,dre-mir-7a-2,dre-mir-7a-2
2784,mrps11,mrps11
2785,mrpl46,mrpl46
2786,ntrk3b,ntrk3b
2787,CU280645.1,CU280645.1
2788,si:dkey-172h23.2,sidkey172h23.2
2789,FP101884.1,FP101884.1
2790,sv2ba,sv2ba
2791,mespaa,mespaa
2792,mespba,mespba
2793,si:ch211-276a23.5,sich211276a23.5
2794,ANPEP,ANPEP
2795,igf1rb,igf1rb
2796,lrrc28,lrrc28
2797,mef2ab,mef2ab
2798,mctp2b,mctp2b
2799,rcn1,rcn1
2800,pax6b,pax6b
2801,elp4,elp4
2802,immp1l,immp1l
2803,BX957347.2,BX957347.2
2804,BX957347.1,BX957347.1
2805,si:ch73-367j5.3,sich73367j5.3
2806,CT030144.2,CT030144.2
2807,btr04,btr04
2808,btr05,btr05
2809,CT030144.1,CT030144.1
2810,btr06,btr06
2811,btr07,btr07
2812,BX957276.1,BX957276.1
2813,mpped2a,mpped2a
2814,zdhhc13,zdhhc13
2815,csrp3,csrp3
2816,e2f8,e2f8
2817,BX890598.1,BX890598.1
2818,nav2a,nav2a
2819,BX088559.1,BX088559.1
2820,CU929054.1,CU929054.1
2821,dbx1a,dbx1a
2822,htatip2,htatip2
2823,prmt3,prmt3
2824,slc6a5,slc6a5
2825,nitr12,nitr12
2826,nitr9,nitr9
2827,si:ch73-46n24.1,sich7346n24.1
2828,CU179757.1,CU179757.1
2829,nitr10a,nitr10a
2830,nitr11a,nitr11a
2831,nitr8,nitr8
2832,CU179702.1,CU179702.1
2833,si:busm1-169i8.11,sibusm1169i8.11
2834,nitr3r.1l,nitr3r.1l
2835,CU179702.2,CU179702.2
2836,nitr7a,nitr7a
2837,nitr7b,nitr7b
2838,nitr3a,nitr3a
2839,nitr3b,nitr3b
2840,nitr2a,nitr2a
2841,nitr2b,nitr2b
2842,nitr1b,nitr1b
2843,CU179759.2,CU179759.2
2844,nitr1b-1,nitr1b-1
2845,CU179759.1,CU179759.1
2846,nitr1f,nitr1f
2847,nitr1i,nitr1i
2848,nitr1k,nitr1k
2849,CU672228.1,CU672228.1
2850,nitr1m,nitr1m
2851,nitr1b-2,nitr1b-2
2852,nitr5,nitr5
2853,nitr4a,nitr4a
2854,nitr6b,nitr6b
2855,nitr6b-1,nitr6b-1
2856,nitr6a,nitr6a
2857,nitr6b-2,nitr6b-2
2858,CT030012.1,CT030012.1
2859,map4k2,map4k2
2860,men1,men1
2861,rtn3,rtn3
2862,si:dkey-106g10.7,sidkey106g10.7
2863,si:dkey-28a3.2,sidkey28a3.2
2864,ecsit,ecsit
2865,eml3,eml3
2866,CU457795.1,CU457795.1
2867,mta2,mta2
2868,cth1,cth1
2869,taf6l,taf6l
2870,kcnk7,kcnk7
2871,ehbp1l1a,ehbp1l1a
2872,si:ch73-40a2.1,sich7340a2.1
2873,rab1ba,rab1ba
2874,peli3,peli3
2875,rce1a,rce1a
2876,CT027807.1,CT027807.1
2877,cd248a,cd248a
2878,sstr1b,sstr1b
2879,znf16l,znf16l
2880,rgs12a,rgs12a
2881,msantd1,msantd1
2882,dtx4a,dtx4a
2883,si:ch211-119e14.1,sich211119e14.1
2884,coro1b,coro1b
2885,nectin4a,nectin4a
2886,trmt10a,trmt10a
2887,C7H4orf54,C7H4orf54
2888,mllt3,mllt3
2889,focad,focad
2890,zgc:194252,zgc194252
2891,HACD4,HACD4
2892,CU972454.1,CU972454.1
2893,CU972454.2,CU972454.2
2894,CU972454.5,CU972454.5
2895,CU972454.3,CU972454.3
2896,CU972454.4,CU972454.4
2897,fcer1g,fcer1g
2898,ndufs2,ndufs2
2899,kirrel1a,kirrel1a
2900,il13ra1,il13ra1
2901,dock11,dock11
2902,ntn4,ntn4
2903,snrpf,snrpf
2904,AMDHD1,AMDHD1
2905,si:ch73-71d17.2,sich7371d17.2
2906,si:ch211-212k18.6,sich211212k18.6
2907,si:ch211-212k18.7,sich211212k18.7
2908,si:ch211-212k18.8,sich211212k18.8
2909,si:ch211-212k18.9,sich211212k18.9
2910,man2b2,man2b2
2911,ttc5,ttc5
2912,CCNB1IP1,CCNB1IP1
2913,si:ch211-212k18.5,sich211212k18.5
2914,slc7a7,slc7a7
2915,oxa1l,oxa1l
2916,casp23,casp23
2917,si:ch211-212k18.13,sich211212k18.13
2918,zgc:194655,zgc194655
2919,si:ch211-212k18.15,sich211212k18.15
2920,si:ch211-212k18.4,sich211212k18.4
2921,si:ch211-196p9.1,sich211196p9.1
2922,tkfc,tkfc
2923,si:dkey-9k7.3,sidkey9k7.3
2924,BX957278.1,BX957278.1
2925,ovol1a,ovol1a
2926,mus81,mus81
2927,TMEM151A,TMEM151A
2928,si:ch211-285j22.5,sich211285j22.5
2929,si:ch211-285j22.3,sich211285j22.3
2930,zgc:110591,zgc110591
2931,prox3,prox3
2932,snx15,snx15
2933,CR339062.2,CR339062.2
2934,trip6,trip6
2935,bcl6b,bcl6b
2936,slc16a13,slc16a13
2937,acap1,acap1
2938,zgc:114045,zgc114045
2939,BX322601.1,BX322601.1
2940,si:ch73-335l21.1,sich73335l21.1
2941,CU019646.1,CU019646.1
2942,si:ch73-335l21.4,sich73335l21.4
2943,si:ch73-335l21.3,sich73335l21.3
2944,si:ch73-335l21.2,sich73335l21.2
2945,dvl2,dvl2
2946,acadvl,acadvl
2947,zgc:194312,zgc194312
2948,ponzr1,ponzr1
2949,si:dkey-33c9.6,sidkey33c9.6
2950,ntn5,ntn5
2951,cnpy4,cnpy4
2952,si:dkey-33c9.8,sidkey33c9.8
2953,si:dkey-19b23.13,sidkey19b23.13
2954,si:dkey-19b23.12,sidkey19b23.12
2955,si:dkey-19b23.14,sidkey19b23.14
2956,zgc:103586,zgc103586
2957,slc3a2a,slc3a2a
2958,zgc:158423,zgc158423
2959,CR318653.1,CR318653.1
2960,si:dkey-19b23.10,sidkey19b23.10
2961,zpax4,zpax4
2962,si:dkey-19b23.7,sidkey19b23.7
2963,si:dkey-19b23.8,sidkey19b23.8
2964,SAT2,SAT2
2965,sat2a,sat2a
2966,tnfsf12,tnfsf12
2967,chd3,chd3
2968,cyb5d1,cyb5d1
2969,dnajc3b,dnajc3b
2970,cldn15a,cldn15a
2971,fis1,fis1
2972,gigyf1a,gigyf1a
2973,wrap53,wrap53
2974,efnb3b,efnb3b
2975,serpinh2,serpinh2
2976,dnah2,dnah2
2977,kdm6ba,kdm6ba
2978,BX005336.1,BX005336.1
2979,tmem88b,tmem88b
2980,BX005336.3,BX005336.3
2981,BX005336.2,BX005336.2
2982,BX005336.4,BX005336.4
2983,tm4sf5,tm4sf5
2984,si:dkey-85k7.7,sidkey85k7.7
2985,mettl3,mettl3
2986,pop7,pop7
2987,epoa,epoa
2988,ufsp1,ufsp1
2989,si:dkey-85k7.10,sidkey85k7.10
2990,si:dkey-85k7.11,sidkey85k7.11
2991,si:dkey-85k7.12,sidkey85k7.12
2992,nlgn2a,nlgn2a
2993,CU571061.1,CU571061.1
2994,tmem256,tmem256
2995,tmem102,tmem102
2996,fgf11a,fgf11a
2997,chrnb1,chrnb1
2998,chrnb1l,chrnb1l
2999,cldn7a,cldn7a
3000,si:dkey-112a7.4,sidkey112a7.4
3001,BX649313.1,BX649313.1
3002,si:dkey-112a7.5,sidkey112a7.5
3003,ponzr5,ponzr5
3004,BX470211.1,BX470211.1
3005,ponzr3,ponzr3
3006,BX470211.2,BX470211.2
3007,ponzr4,ponzr4
3008,ugt5g1,ugt5g1
3009,si:dkey-165a24.9,sidkey165a24.9
3010,fxr2,fxr2
3011,ponzr6,ponzr6
3012,si:dkey-165a24.10,sidkey165a24.10
3013,si:ch211-15b10.6,sich21115b10.6
3014,rbm4.3,rbm4.3
3015,rbm4.2,rbm4.2
3016,rbm4.1,rbm4.1
3017,sf1,sf1
3018,pygmb,pygmb
3019,clcn5b,clcn5b
3020,tnfsf10l,tnfsf10l
3021,CR381635.1,CR381635.1
3022,si:dkey-171c9.3,sidkey171c9.3
3023,ccnb3,ccnb3
3024,BX957325.1,BX957325.1
3025,CR352332.1,CR352332.1
3026,htr2cl1,htr2cl1
3027,dre-mir-730,dre-mir-730
3028,zgc:109889,zgc109889
3029,gpr185b,gpr185b
3030,CR318658.1,CR318658.1
3031,si:dkey-172j4.3,sidkey172j4.3
3032,zgc:92429,zgc92429
3033,si:ch211-200p22.4,sich211200p22.4
3034,AL954129.1,AL954129.1
3035,zgc:162171,zgc162171
3036,rab39bb,rab39bb
3037,vbp1,vbp1
3038,CR388231.5,CR388231.5
3039,syt4,syt4
3040,si:dkey-183c6.7,sidkey183c6.7
3041,si:dkey-183c6.8,sidkey183c6.8
3042,ccdc166,ccdc166
3043,si:dkey-183c6.9,sidkey183c6.9
3044,homezb,homezb
3045,cideb,cideb
3046,CR388231.4,CR388231.4
3047,tinf2,tinf2
3048,dhrs4,dhrs4
3049,efs,efs
3050,CR388231.6,CR388231.6
3051,acin1b,acin1b
3052,CR388231.2,CR388231.2
3053,CR388231.3,CR388231.3
3054,CR388231.1,CR388231.1
3055,ajuba,ajuba
3056,mrpl52,mrpl52
3057,mmp14a,mmp14a
3058,lrp10,lrp10
3059,si:ch211-216p19.5,sich211216p19.5
3060,zgc:153151,zgc153151
3061,si:ch211-216p19.6,sich211216p19.6
3062,CR318603.2,CR318603.2
3063,gmpr2,gmpr2
3064,nedd8,nedd8
3065,slc7a8a,slc7a8a
3066,CR318603.1,CR318603.1
3067,svep1,svep1
3068,CR318603.3,CR318603.3
3069,txn,txn
3070,si:dkey-11k2.7,sidkey11k2.7
3071,ptgr1,ptgr1
3072,haus3,haus3
3073,poln,poln
3074,nat8l,nat8l
3075,C7H4orf48,C7H4orf48
3076,nelfa,nelfa
3077,faah2b,faah2b
3078,btr09,btr09
3079,TESK1,TESK1
3080,si:dkeyp-75h12.7,sidkeyp75h12.7
3081,pik3c3,pik3c3
3082,rgp1,rgp1
3083,MSMP,MSMP
3084,gba2,gba2
3085,calb2b,calb2b
3086,cmtr2,cmtr2
3087,shroom4,shroom4
3088,si:ch211-226l4.6,sich211226l4.6
3089,otub1b,otub1b
3090,CSKMT,CSKMT
3091,fam113,fam113
3092,BX511061.1,BX511061.1
3093,adad2,adad2
3094,krcp,krcp
3095,mark2b,mark2b
3096,rcor2,rcor2
3097,naa40-1,naa40-1
3098,b3gat3,b3gat3
3099,sb:cb1058,sbcb1058
3100,si:dkey-23i12.5,sidkey23i12.5
3101,AL954715.5,AL954715.5
3102,AL954715.3,AL954715.3
3103,ENSDARG00000080156,ENSDARG00000080156
3104,AL954715.6,AL954715.6
3105,AL954715.2,AL954715.2
3106,AL954715.4,AL954715.4
3107,arl2,arl2
3108,si:dkey-23i12.7,sidkey23i12.7
3109,ppp2r5b,ppp2r5b
3110,si:dkey-23i12.9,sidkey23i12.9
3111,gpha2,gpha2
3112,MAJIN,MAJIN
3113,zgc:101765,zgc101765
3114,badb,badb
3115,exoc6b,exoc6b
3116,CU464085.1,CU464085.1
3117,cyp26b1,cyp26b1
3118,CU929416.1,CU929416.1
3119,dysf,dysf
3120,CR846090.1,CR846090.1
3121,CU467013.2,CU467013.2
3122,CU467013.1,CU467013.1
3123,mtm1,mtm1
3124,mtmr1a,mtmr1a
3125,cd99l2,cd99l2
3126,BX005022.2,BX005022.2
3127,BX005022.3,BX005022.3
3128,hmgb3a,hmgb3a
3129,arrb2b,arrb2b
3130,pelp1,pelp1
3131,BX005022.1,BX005022.1
3132,alox12,alox12
3133,rnaseka,rnaseka
3134,si:dkey-6n21.12,sidkey6n21.12
3135,si:dkey-6n21.13,sidkey6n21.13
3136,CT027989.1,CT027989.1
3137,dre-mir-15b,dre-mir-15b
3138,dre-mir-457a,dre-mir-457a
3139,zgc:92664,zgc92664
3140,ache,ache
3141,si:ch211-196f2.3,sich211196f2.3
3142,snapc2,snapc2
3143,BX470232.1,BX470232.1
3144,nat16,nat16
3145,si:ch211-196f2.6,sich211196f2.6
3146,nat16l,nat16l
3147,vgf,vgf
3148,ap1s1,ap1s1
3149,serpine1,serpine1
3150,zgc:77439,zgc77439
3151,zanl,zanl
3152,map11,map11
3153,gal3st4,gal3st4
3154,her8a,her8a
3155,zgc:172079,zgc172079
3156,zgc:172079-1,zgc1720791
3157,zgc:172079-2,zgc1720792
3158,mblac1,mblac1
3159,mpdu1b,mpdu1b
3160,sox19b,sox19b
3161,eif4a1a,eif4a1a
3162,CR848032.1,CR848032.1
3163,senp3b,senp3b
3164,si:dkey-62k3.5,sidkey62k3.5
3165,tnk1,tnk1
3166,si:dkey-62k3.6,sidkey62k3.6
3167,plscr3b,plscr3b
3168,CR848032.2,CR848032.2
3169,phf23b,phf23b
3170,hsbp1a,hsbp1a
3171,tp53i11a,tp53i11a
3172,CT573817.1,CT573817.1
3173,cd82a,cd82a
3174,CR394555.1,CR394555.1
3175,tspan18a,tspan18a
3176,si:ch211-107p11.3,sich211107p11.3
3177,ext2,ext2
3178,alx4a,alx4a
3179,caprin1a,caprin1a
3180,nucb2a,nucb2a
3181,rps13,rps13
3182,BX927397.1,BX927397.1
3183,plekha7b,plekha7b
3184,sox6,sox6
3185,cyp2r1,cyp2r1
3186,calca,calca
3187,pde3b,pde3b
3188,BX005056.2,BX005056.2
3189,copb1,copb1
3190,BX005056.3,BX005056.3
3191,rras2,rras2
3192,tub,tub
3193,BX005056.1,BX005056.1
3194,RIC3,RIC3
3195,BX072554.1,BX072554.1
3196,lmo1,lmo1
3197,BX072554.4,BX072554.4
3198,BX072554.2,BX072554.2
3199,BX072554.3,BX072554.3
3200,stk33,stk33
3201,rerglb,rerglb
3202,trim66,trim66
3203,BX323591.1,BX323591.1
3204,dennd2b,dennd2b
3205,tmem9b,tmem9b
3206,scube2,scube2
3207,CU467654.1,CU467654.1
3208,slc7a6os,slc7a6os
3209,slc7a6,slc7a6
3210,adgrg1,adgrg1
3211,adgrg1-1,adgrg1-1
3212,CU464087.1,CU464087.1
3213,ccdc102a,ccdc102a
3214,dok4,dok4
3215,CR376738.2,CR376738.2
3216,CR376738.1,CR376738.1
3217,dnaaf1,dnaaf1
3218,nrn1lb,nrn1lb
3219,cog4,cog4
3220,thap11,thap11
3221,gfod2,gfod2
3222,sinhcafl,sinhcafl
3223,vrk3,vrk3
3224,acd,acd
3225,ogfod1,ogfod1
3226,fbxl8,fbxl8
3227,tradd,tradd
3228,gnao1b,gnao1b
3229,mtbl,mtbl
3230,tmppe,tmppe
3231,CR352249.1,CR352249.1
3232,exosc6,exosc6
3233,slc38a8b,slc38a8b
3234,aph1b,aph1b
3235,herc1,herc1
3236,dapk2a,dapk2a
3237,si:ch211-112g6.4,sich211112g6.4
3238,CR450827.2,CR450827.2
3239,rab8b,rab8b
3240,trpm1a,trpm1a
3241,dre-mir-204-2,dre-mir-204-2
3242,gtf2a2,gtf2a2
3243,CR450827.5,CR450827.5
3244,CR450827.7,CR450827.7
3245,CR450827.4,CR450827.4
3246,CR450827.1,CR450827.1
3247,CR450827.6,CR450827.6
3248,CR450827.3,CR450827.3
3249,foxb1b,foxb1b
3250,BX927082.1,BX927082.1
3251,BX927082.2,BX927082.2
3252,si:dkey-182o15.5,sidkey182o15.5
3253,anxa2b,anxa2b
3254,rorab,rorab
3255,vps13c,vps13c
3256,CR388046.6,CR388046.6
3257,CR388046.5,CR388046.5
3258,CR388046.2,CR388046.2
3259,CR388046.1,CR388046.1
3260,CR388046.4,CR388046.4
3261,CR388046.3,CR388046.3
3262,BX914219.3,BX914219.3
3263,BX914219.1,BX914219.1
3264,BX914219.2,BX914219.2
3265,tln2a,tln2a
3266,BX914219.4,BX914219.4
3267,tpma,tpma
3268,fbxo22,fbxo22
3269,isl2b,isl2b
3270,pstpip1b,pstpip1b
3271,tspan3b,tspan3b
3272,nmbb,nmbb
3273,alpk3b,alpk3b
3274,frmd5,frmd5
3275,tmed3,tmed3
3276,si:ch211-107o10.3,sich211107o10.3
3277,CR356246.1,CR356246.1
3278,dre-mir-184-2,dre-mir-184-2
3279,wdr76,wdr76
3280,znf710b,znf710b
3281,sema4bb,sema4bb
3282,zgc:162945,zgc162945
3283,serf2,serf2
3284,polr2m,polr2m
3285,aldh1a2,aldh1a2
3286,aqp9b,aqp9b
3287,lipca,lipca
3288,adam10a,adam10a
3289,BX957301.1,BX957301.1
3290,AL935053.2,AL935053.2
3291,AL935053.1,AL935053.1
3292,mindy2,mindy2
3293,sltm,sltm
3294,rnf111,rnf111
3295,ccnb2,ccnb2
3296,myo1ea,myo1ea
3297,mtmr10,mtmr10
3298,mphosph10,mphosph10
3299,mcee,mcee
3300,apba2b,apba2b
3301,sord,sord
3302,si:dkey-1h4.4,sidkey1h4.4
3303,terb2,terb2
3304,tjp1a,tjp1a
3305,fam189a1,fam189a1
3306,CR356242.1,CR356242.1
3307,casc4,casc4
3308,ctdspl2b,ctdspl2b
3309,strc1,strc1
3310,eif3jb,eif3jb
3311,cilp,cilp
3312,CU329666.1,CU329666.1
3313,CU329666.2,CU329666.2
3314,igdcc3,igdcc3
3315,igdcc4,igdcc4
3316,nap1l4b,nap1l4b
3317,cars1,cars1
3318,mybpc3,mybpc3
3319,lin7c,lin7c
3320,bdnf,bdnf
3321,kif18a,kif18a
3322,mettl15,mettl15
3323,CR354377.1,CR354377.1
3324,BX324119.1,BX324119.1
3325,lgr4,lgr4
3326,BX511109.1,BX511109.1
3327,CT030129.1,CT030129.1
3328,kcna4,kcna4
3329,fshb,fshb
3330,arl14ep,arl14ep
3331,si:ch73-314g15.3,sich73314g15.3
3332,spi1b,spi1b
3333,AL929252.1,AL929252.1
3334,slc39a13,slc39a13
3335,si:ch211-150g13.3,sich211150g13.3
3336,gas2b,gas2b
3337,slc17a6b,slc17a6b
3338,ano5b,ano5b
3339,tssc4,tssc4
3340,ano9b,ano9b
3341,pkp3b,pkp3b
3342,cd81a,cd81a
3343,kcnc1a,kcnc1a
3344,tph1b,tph1b
3345,mns1,mns1
3346,zgc:153219,zgc153219
3347,si:ch211-194p6.7,sich211194p6.7
3348,itln2,itln2
3349,itln2-1,itln2-1
3350,si:ch211-194p6.10,sich211194p6.10
3351,BX571811.2,BX571811.2
3352,BX571811.1,BX571811.1
3353,ITLN1,ITLN1
3354,itga11a,itga11a
3355,coro2ba,coro2ba
3356,anp32a,anp32a
3357,glceb,glceb
3358,BX914196.1,BX914196.1
3359,paqr5b,paqr5b
3360,AL954672.1,AL954672.1
3361,tle3b,tle3b
3362,uacab,uacab
3363,BX511006.1,BX511006.1
3364,rxfp3.3a1,rxfp3.3a1
3365,pias1a,pias1a
3366,skor1a,skor1a
3367,map2k5,map2k5
3368,CR927368.1,CR927368.1
3369,smad3a,smad3a
3370,smad6a,smad6a
3371,crybgx,crybgx
3372,lctla,lctla
3373,tipin,tipin
3374,dis3l,dis3l
3375,si:ch211-98n17.5,sich21198n17.5
3376,fibinb,fibinb
3377,CR388195.1,CR388195.1
3378,bbox1,bbox1
3379,madd,madd
3380,nr1h3,nr1h3
3381,si:cabz01009626.1,sicabz01009626.1
3382,si:zfos-1897c11.1,sizfos1897c11.1
3383,cln6a,cln6a
3384,calml4a,calml4a
3385,tex9,tex9
3386,rfx7a,rfx7a
3387,fhod1,fhod1
3388,slc9a5,slc9a5
3389,plekhg4,plekhg4
3390,si:dkey-148a17.5,sidkey148a17.5
3391,si:dkey-148a17.6,sidkey148a17.6
3392,esrp2,esrp2
3393,nfatc3a,nfatc3a
3394,BX005082.1,BX005082.1
3395,ddx28,ddx28
3396,CR356247.1,CR356247.1
3397,galr1b,galr1b
3398,zgc:112160,zgc112160
3399,zgc:136461,zgc136461
3400,ctrb1,ctrb1
3401,agrp,agrp
3402,atp6v0d1,atp6v0d1
3403,hsd11b2,hsd11b2
3404,zdhhc1,zdhhc1
3405,tppp3,tppp3
3406,amfrb,amfrb
3407,dpep2,dpep2
3408,slc12a4,slc12a4
3409,slc6a2,slc6a2
3410,lpcat2,lpcat2
3411,mmp2,mmp2
3412,BX294178.2,BX294178.2
3413,irx6a,irx6a
3414,BX294178.1,BX294178.1
3415,BX294178.3,BX294178.3
3416,BX255967.1,BX255967.1
3417,irx5a,irx5a
3418,irx3a,irx3a
3419,CR848715.1,CR848715.1
3420,fto,fto
3421,aktip,aktip
3422,chd9,chd9
3423,CU464124.1,CU464124.1
3424,FP015866.4,FP015866.4
3425,FP015866.3,FP015866.3
3426,FP015866.2,FP015866.2
3427,FP015866.1,FP015866.1
3428,zgc:195356,zgc195356
3429,tox3,tox3
3430,AL929307.1,AL929307.1
3431,sall1a,sall1a
3432,CT030153.1,CT030153.1
3433,cylda,cylda
3434,nod2,nod2
3435,nkd1,nkd1
3436,BX664719.1,BX664719.1
3437,brd7,brd7
3438,adcy7,adcy7
3439,BX663605.1,BX663605.1
3440,tent4b,tent4b
3441,heatr3,heatr3
3442,BX323060.3,BX323060.3
3443,cebpa,cebpa
3444,cebpg,cebpg
3445,BX323060.1,BX323060.1
3446,BX323060.2,BX323060.2
3447,abcc12,abcc12
3448,BX323797.3,BX323797.3
3449,BX323797.4,BX323797.4
3450,BX323797.1,BX323797.1
3451,BX323797.2,BX323797.2
3452,si:dkey-78a14.4,sidkey78a14.4
3453,cnep1r1,cnep1r1
3454,gpatch1,gpatch1
3455,lrp3,lrp3
3456,slc7a10a,slc7a10a
3457,BX323855.1,BX323855.1
3458,rhpn2,rhpn2
3459,BX323855.2,BX323855.2
3460,cep89,cep89
3461,zgc:165481,zgc165481
3462,slc7a9,slc7a9
3463,nudt19,nudt19
3464,celf1,celf1
3465,BX571680.1,BX571680.1
3466,CR318601.1,CR318601.1
3467,ptpmt1,ptpmt1
3468,ndufs3,ndufs3
3469,c1qtnf4,c1qtnf4
3470,c6ast4,c6ast4
3471,c6ast3,c6ast3
3472,BX957297.3,BX957297.3
3473,BX957297.2,BX957297.2
3474,npsn,npsn
3475,c6ast1,c6ast1
3476,mtch2,mtch2
3477,BX957297.4,BX957297.4
3478,psmc3,psmc3
3479,aplnr2,aplnr2
3480,syt13,syt13
3481,BX957297.1,BX957297.1
3482,cd59,cd59
3483,fbxo3,fbxo3
3484,znf408,znf408
3485,f2,f2
3486,BX957256.1,BX957256.1
3487,arhgap1,arhgap1
3488,si:dkey-23n7.10,sidkey23n7.10
3489,atg13,atg13
3490,harbi1,harbi1
3491,zgc:110699,zgc110699
3492,phf21aa,phf21aa
3493,creb3l1,creb3l1
3494,dgkza,dgkza
3495,CR382325.1,CR382325.1
3496,CR356225.1,CR356225.1
3497,mdka,mdka
3498,chrm4a,chrm4a
3499,CABZ01033553.1,CABZ01033553.1
3500,ambra1a,ambra1a
3501,acp2,acp2
3502,slc8b1,slc8b1
3503,tnni2b.2,tnni2b.2
3504,tnni2b.1,tnni2b.1
3505,lsp1b,lsp1b
3506,BX842701.1,BX842701.1
3507,tnnt3b,tnnt3b
3508,otog,otog
3509,slc22a18,slc22a18
3510,ptprja,ptprja
3511,ptpn5,ptpn5
3512,zgc:158564,zgc158564
3513,tbc1d14,tbc1d14
3514,ccl36.1,ccl36.1
3515,BX908792.2,BX908792.2
3516,BX908792.1,BX908792.1
3517,si:dkey-58i8.5,sidkey58i8.5
3518,ccdc96,ccdc96
3519,tada2b,tada2b
3520,grpel1,grpel1
3521,sorcs2,sorcs2
3522,shrprbck1r,shrprbck1r
3523,MAF1,MAF1
3524,si:ch73-174h16.4,sich73174h16.4
3525,si:ch73-174h16.5,sich73174h16.5
3526,wdr60,wdr60
3527,esyt2b,esyt2b
3528,ncapg2,ncapg2
3529,ptprn2,ptprn2
3530,dre-mir-153a,dre-mir-153a
3531,dnajb6b,dnajb6b
3532,ube3c,ube3c
3533,mnx1,mnx1
3534,nom1,nom1
3535,lmbr1,lmbr1
3536,rnf32,rnf32
3537,CU041319.3,CU041319.3
3538,CU041319.1,CU041319.1
3539,shha,shha
3540,rbm33a,rbm33a
3541,CU041319.2,CU041319.2
3542,si:dkey-151p11.2,sidkey151p11.2
3543,en2a,en2a
3544,insig1,insig1
3545,htr5ab,htr5ab
3546,AL772146.1,AL772146.1
3547,puf60b,puf60b
3548,scrib,scrib
3549,AL772146.2,AL772146.2
3550,kif9,kif9
3551,si:dkey-86l18.10,sidkey86l18.10
3552,rgs9bp,rgs9bp
3553,MCUR1,MCUR1
3554,dph2,dph2
3555,ncf2,ncf2
3556,garem,garem
3557,prkdc,prkdc
3558,BX322787.1,BX322787.1
3559,abcf2b,abcf2b
3560,chpf2,chpf2
3561,smarcd3b,smarcd3b
3562,BX005319.1,BX005319.1
3563,NFX1,NFX1
3564,BX005319.3,BX005319.3
3565,plxdc2,plxdc2
3566,BX005319.2,BX005319.2
3567,malrd1,malrd1
3568,arl8,arl8
3569,hrh3,hrh3
3570,vps35,vps35
3571,AL928906.1,AL928906.1
3572,orc6,orc6
3573,mylk3,mylk3
3574,C7H16orf87,C7H16orf87
3575,gpt2,gpt2
3576,dnaja2a,dnaja2a
3577,neto2b,neto2b
3578,itfg1,itfg1
3579,CR759753.1,CR759753.1
3580,phkb,phkb
3581,CR847539.1,CR847539.1
3582,CU570782.3,CU570782.3
3583,CU570782.1,CU570782.1
3584,CU570782.2,CU570782.2
3585,adamts18,adamts18
3586,BX284620.3,BX284620.3
3587,BX470088.1,BX470088.1
3588,BX284620.1,BX284620.1
3589,BX284620.2,BX284620.2
3590,BX284696.1,BX284696.1
3591,BX005003.1,BX005003.1
3592,BX005003.2,BX005003.2
3593,BX005396.4,BX005396.4
3594,BX005396.3,BX005396.3
3595,BX005396.1,BX005396.1
3596,BX005396.5,BX005396.5
3597,BX005396.2,BX005396.2
3598,cdh11,cdh11
3599,CT025913.1,CT025913.1
3600,BX842687.1,BX842687.1
3601,BX842670.1,BX842670.1
3602,CU861667.1,CU861667.1
3603,cdh5,cdh5
3604,bean1,bean1
3605,si:ch211-189a15.5,sich211189a15.5
3606,tk2,tk2
3607,CT027744.2,CT027744.2
3608,cmtm3,cmtm3
3609,CT027744.1,CT027744.1
3610,cmtm4,cmtm4
3611,BX511128.4,BX511128.4
3612,BX511128.1,BX511128.1
3613,dync1li2,dync1li2
3614,BX511128.2,BX511128.2
3615,si:dkey-56m19.5,sidkey56m19.5
3616,BX511128.3,BX511128.3
3617,nae1,nae1
3618,ca7,ca7
3619,cdh16,cdh16
3620,BX511136.1,BX511136.1
3621,BX511136.2,BX511136.2
3622,rrad,rrad
3623,ciao2b,ciao2b
3624,VSTM2B,VSTM2B
3625,uqcrfs1,uqcrfs1
3626,BX511025.1,BX511025.1
3627,BX511025.2,BX511025.2
3628,shcbp1,shcbp1
3629,FO704745.1,FO704745.1
3630,CABZ01000591.1,CABZ01000591.1
3631,pop4,pop4
3632,plekhf1,plekhf1
3633,C18H19orf12,C18H19orf12
3634,C18H19orf12-1,C18H19orf12-1
3635,C18H19orf12-2,C18H19orf12-2
3636,si:ch211-260e23.9,sich211260e23.9
3637,zgc:162297,zgc162297
3638,ccne1,ccne1
3639,CR847947.1,CR847947.1
3640,CR847947.2,CR847947.2
3641,znf536,znf536
3642,tshz3b,tshz3b
3643,CT476811.1,CT476811.1
3644,BX005073.4,BX005073.4
3645,BX005073.3,BX005073.3
3646,BX005073.1,BX005073.1
3647,BX005073.2,BX005073.2
3648,BX323051.1,BX323051.1
