"","gene","stage","counts_sum"
"42285","nfe2l1b","72hpf",10126
"42286","nfe2l2a","21Day",30315
"42287","nfe2l2a","22Month",69690
"42288","nfe2l2a","24hpf",1514
"42289","nfe2l2a","3Month",79211
"42290","nfe2l2a","72hpf",17462
"42291","nfe2l2b","21Day",1236
"42292","nfe2l2b","22Month",3762
"42293","nfe2l2b","24hpf",86
"42294","nfe2l2b","3Month",7055
"42295","nfe2l2b","72hpf",589
"42296","nfe2l3","21Day",2607
"42297","nfe2l3","22Month",8261
"42298","nfe2l3","24hpf",2601
"42299","nfe2l3","3Month",17421
"42300","nfe2l3","72hpf",6968
"42301","nfia","21Day",11493
"42302","nfia","22Month",2621
"42303","nfia","24hpf",348
"42304","nfia","3Month",2739
"42305","nfia","72hpf",22087
"42306","nfil3","21Day",3863
"42307","nfil3","22Month",6093
"42308","nfil3","24hpf",2380
"42309","nfil3","3Month",11590
"42310","nfil3","72hpf",8864
"42311","nfil3-5","21Day",9575
"42312","nfil3-5","22Month",9359
"42313","nfil3-5","24hpf",1819
"42314","nfil3-5","3Month",8856
"42315","nfil3-5","72hpf",45176
"42316","nfil3-6","21Day",814
"42317","nfil3-6","22Month",88016
"42318","nfil3-6","24hpf",279
"42319","nfil3-6","3Month",73418
"42320","nfil3-6","72hpf",164
"42321","nfkb1","21Day",95
"42322","nfkb1","22Month",233
"42323","nfkb1","24hpf",16
"42324","nfkb1","3Month",330
"42325","nfkb1","72hpf",40
"42326","nfkb2","21Day",20201
"42327","nfkb2","22Month",59150
"42328","nfkb2","24hpf",1320
"42329","nfkb2","3Month",97956
"42330","nfkb2","72hpf",22593
"42331","nfkbiaa","21Day",88351
"42332","nfkbiaa","22Month",683973
"42333","nfkbiaa","24hpf",4727
"42334","nfkbiaa","3Month",928946
"42335","nfkbiaa","72hpf",57760
"42336","nfkbiab","21Day",91968
"42337","nfkbiab","22Month",675828
"42338","nfkbiab","24hpf",11443
"42339","nfkbiab","3Month",776182
"42340","nfkbiab","72hpf",65533
"42341","nfkbib","21Day",10433
"42342","nfkbib","22Month",118563
"42343","nfkbib","24hpf",2463
"42344","nfkbib","3Month",147131
"42345","nfkbib","72hpf",26977
"42346","nfkbie","21Day",6999
"42347","nfkbie","22Month",46313
"42348","nfkbie","24hpf",741
"42349","nfkbie","3Month",45039
"42350","nfkbie","72hpf",6874
"42351","nfkbil1","21Day",331
"42352","nfkbil1","22Month",1128
"42353","nfkbil1","24hpf",200
"42354","nfkbil1","3Month",1797
"42355","nfkbil1","72hpf",491
"42356","nfkbiz","21Day",174
"42357","nfkbiz","22Month",1496
"42358","nfkbiz","24hpf",43
"42359","nfkbiz","3Month",3765
"42360","nfkbiz","72hpf",138
"42361","nfr","21Day",17
"42362","nfr","22Month",198
"42363","nfr","24hpf",141
"42364","nfr","3Month",1984
"42365","nfr","72hpf",46
"42366","nfrkb","21Day",2924
"42367","nfrkb","22Month",3936
"42368","nfrkb","24hpf",1982
"42369","nfrkb","3Month",8675
"42370","nfrkb","72hpf",5529
"42371","nfs1","21Day",1723
"42372","nfs1","22Month",10635
"42373","nfs1","24hpf",800
"42374","nfs1","3Month",26546
"42375","nfs1","72hpf",1450
"42376","nfu1","21Day",3081
"42377","nfu1","22Month",11987
"42378","nfu1","24hpf",1226
"42379","nfu1","3Month",21330
"42380","nfu1","72hpf",3766
"42381","nfxl1","21Day",185
"42382","nfxl1","22Month",687
"42383","nfxl1","24hpf",55
"42384","nfxl1","3Month",963
"42385","nfxl1","72hpf",172
"42386","nfya","21Day",4611
"42387","nfya","22Month",2850
"42388","nfya","24hpf",1295
"42389","nfya","3Month",4811
"42390","nfya","72hpf",10477
"42391","nfyal","21Day",906
"42392","nfyal","22Month",1139
"42393","nfyal","24hpf",592
"42394","nfyal","3Month",2617
"42395","nfyal","72hpf",2277
"42396","nfyba","21Day",6815
"42397","nfyba","22Month",14371
"42398","nfyba","24hpf",5363
"42399","nfyba","3Month",33052
"42400","nfyba","72hpf",18594
"42401","nfybb","21Day",1479
"42402","nfybb","22Month",3481
"42403","nfybb","24hpf",321
"42404","nfybb","3Month",9306
"42405","nfybb","72hpf",2785
"42406","nfyc","21Day",9555
"42407","nfyc","22Month",21863
"42408","nfyc","24hpf",4861
"42409","nfyc","3Month",39310
"42410","nfyc","72hpf",24966
"42411","ngdn","21Day",6541
"42412","ngdn","22Month",26567
"42413","ngdn","24hpf",3640
"42414","ngdn","3Month",27149
"42415","ngdn","72hpf",4912
"42416","ngef","21Day",1100
"42417","ngef","22Month",9596
"42418","ngef","24hpf",64
"42419","ngef","3Month",14351
"42420","ngef","72hpf",1101
"42421","ngfb","21Day",717
"42422","ngfb","22Month",1060
"42423","ngfb","24hpf",713
"42424","ngfb","3Month",2478
"42425","ngfb","72hpf",1355
"42426","ngfra","21Day",676
"42427","ngfra","22Month",501
"42428","ngfra","24hpf",23
"42429","ngfra","3Month",1587
"42430","ngfra","72hpf",1253
"42431","ngfrb","21Day",489
"42432","ngfrb","22Month",263
"42433","ngfrb","24hpf",132
"42434","ngfrb","3Month",747
"42435","ngfrb","72hpf",931
"42436","ngly1","21Day",1671
"42437","ngly1","22Month",5033
"42438","ngly1","24hpf",762
"42439","ngly1","3Month",9497
"42440","ngly1","72hpf",2389
"42441","ngrn","21Day",2914
"42442","ngrn","22Month",8595
"42443","ngrn","24hpf",736
"42444","ngrn","3Month",11021
"42445","ngrn","72hpf",3289
"42446","nhej1","21Day",804
"42447","nhej1","22Month",3482
"42448","nhej1","24hpf",533
"42449","nhej1","3Month",6304
"42450","nhej1","72hpf",1399
"42451","nhlh2","21Day",916
"42452","nhlh2","22Month",691
"42453","nhlh2","24hpf",376
"42454","nhlh2","3Month",943
"42455","nhlh2","72hpf",4805
"42456","nhlrc2","21Day",1015
"42457","nhlrc2","22Month",1839
"42458","nhlrc2","24hpf",495
"42459","nhlrc2","3Month",2367
"42460","nhlrc2","72hpf",1429
"42461","nhp2","21Day",13071
"42462","nhp2","22Month",33415
"42463","nhp2","24hpf",12115
"42464","nhp2","3Month",41141
"42465","nhp2","72hpf",11960
"42466","nhsa","21Day",262
"42467","nhsa","22Month",98
"42468","nhsa","24hpf",107
"42469","nhsa","3Month",87
"42470","nhsa","72hpf",328
"42471","nhsb","21Day",1472
"42472","nhsb","22Month",580
"42473","nhsb","24hpf",256
"42474","nhsb","3Month",814
"42475","nhsb","72hpf",4202
"42476","nhsl1a","21Day",1272
"42477","nhsl1a","22Month",1159
"42478","nhsl1a","24hpf",172
"42479","nhsl1a","3Month",2112
"42480","nhsl1a","72hpf",1676
"42481","nhsl1b","21Day",277
"42482","nhsl1b","22Month",316
"42483","nhsl1b","24hpf",311
"42484","nhsl1b","3Month",472
"42485","nhsl1b","72hpf",418
"42486","nhsl2","21Day",1146
"42487","nhsl2","22Month",1655
"42488","nhsl2","24hpf",520
"42489","nhsl2","3Month",2073
"42490","nhsl2","72hpf",2659
"42491","nid1a","21Day",6158
"42492","nid1a","22Month",53497
"42493","nid1a","24hpf",426
"42494","nid1a","3Month",97989
"42495","nid1a","72hpf",5899
"42496","nid1b","21Day",4035
"42497","nid1b","22Month",846
"42498","nid1b","24hpf",3216
"42499","nid1b","3Month",1435
"42500","nid1b","72hpf",10699
"42501","nid2a","21Day",8328
"42502","nid2a","22Month",2076
"42503","nid2a","24hpf",14802
"42504","nid2a","3Month",4099
"42505","nid2a","72hpf",23905
"42506","nif3l1","21Day",1145
"42507","nif3l1","22Month",3239
"42508","nif3l1","24hpf",592
"42509","nif3l1","3Month",4667
"42510","nif3l1","72hpf",1389
"42511","nifk","21Day",4990
"42512","nifk","22Month",33050
"42513","nifk","24hpf",3501
"42514","nifk","3Month",34284
"42515","nifk","72hpf",5274
"42516","nin","21Day",1180
"42517","nin","22Month",915
"42518","nin","24hpf",1942
"42519","nin","3Month",1355
"42520","nin","72hpf",3248
"42521","ninl","21Day",1204
"42522","ninl","22Month",326
"42523","ninl","24hpf",778
"42524","ninl","3Month",976
"42525","ninl","72hpf",1236
"42526","nip7","21Day",5888
"42527","nip7","22Month",21338
"42528","nip7","24hpf",2984
"42529","nip7","3Month",20593
"42530","nip7","72hpf",4549
"42531","nipa1","21Day",395
"42532","nipa1","22Month",4634
"42533","nipa1","24hpf",138
"42534","nipa1","3Month",5856
"42535","nipa1","72hpf",541
"42536","nipa2","21Day",3270
"42537","nipa2","22Month",19162
"42538","nipa2","24hpf",1418
"42539","nipa2","3Month",22768
"42540","nipa2","72hpf",5197
"42541","nipal3","21Day",2354
"42542","nipal3","22Month",6949
"42543","nipal3","24hpf",455
"42544","nipal3","3Month",12597
"42545","nipal3","72hpf",2813
"42546","nipal4","21Day",849
"42547","nipal4","22Month",9053
"42548","nipal4","24hpf",85
"42549","nipal4","3Month",8658
"42550","nipal4","72hpf",322
"42551","nipbla","21Day",4246
"42552","nipbla","22Month",5201
"42553","nipbla","24hpf",2020
"42554","nipbla","3Month",7302
"42555","nipbla","72hpf",11873
"42556","nipblb","21Day",17181
"42557","nipblb","22Month",16634
"42558","nipblb","24hpf",12655
"42559","nipblb","3Month",29104
"42560","nipblb","72hpf",44409
"42561","nipsnap1","21Day",266
"42562","nipsnap1","22Month",5685
"42563","nipsnap1","24hpf",44
"42564","nipsnap1","3Month",9342
"42565","nipsnap1","72hpf",363
"42566","nipsnap2","21Day",519
"42567","nipsnap2","22Month",703
"42568","nipsnap2","24hpf",210
"42569","nipsnap2","3Month",1221
"42570","nipsnap2","72hpf",639
"42571","nipsnap3a","21Day",2166
"42572","nipsnap3a","22Month",39150
"42573","nipsnap3a","24hpf",160
"42574","nipsnap3a","3Month",70271
"42575","nipsnap3a","72hpf",1660
"42576","nisch","21Day",1565
"42577","nisch","22Month",4021
"42578","nisch","24hpf",333
"42579","nisch","3Month",5640
"42580","nisch","72hpf",3156
"42581","nit1","21Day",813
"42582","nit1","22Month",5185
"42583","nit1","24hpf",346
"42584","nit1","3Month",14476
"42585","nit1","72hpf",982
"42586","nit2","21Day",872
"42587","nit2","22Month",4937
"42588","nit2","24hpf",838
"42589","nit2","3Month",31456
"42590","nit2","72hpf",975
"42591","nitr3a","21Day",7
"42592","nitr3a","22Month",3
"42593","nitr3a","24hpf",19
"42594","nitr3a","3Month",121
"42595","nitr3a","72hpf",27
"42596","nkain1","21Day",6203
"42597","nkain1","22Month",1942
"42598","nkain1","24hpf",4765
"42599","nkain1","3Month",7033
"42600","nkain1","72hpf",28507
"42601","nkain2","21Day",359
"42602","nkain2","22Month",107
"42603","nkain2","24hpf",91
"42604","nkain2","3Month",319
"42605","nkain2","72hpf",2237
"42606","nkain4","21Day",143
"42607","nkain4","22Month",1683
"42608","nkain4","24hpf",81
"42609","nkain4","3Month",931
"42610","nkain4","72hpf",201
"42611","nkap","21Day",7690
"42612","nkap","22Month",38684
"42613","nkap","24hpf",4963
"42614","nkap","3Month",44436
"42615","nkap","72hpf",12276
"42616","nkd1","21Day",4023
"42617","nkd1","22Month",2867
"42618","nkd1","24hpf",6892
"42619","nkd1","3Month",4595
"42620","nkd1","72hpf",8975
"42621","nkd2a","21Day",191
"42622","nkd2a","22Month",19
"42623","nkd2a","24hpf",84
"42624","nkd2a","3Month",16
"42625","nkd2a","72hpf",273
"42626","nkiras1","21Day",437
"42627","nkiras1","22Month",775
"42628","nkiras1","24hpf",226
"42629","nkiras1","3Month",1898
"42630","nkiras1","72hpf",869
"42631","nkiras2","21Day",1373
"42632","nkiras2","22Month",4538
"42633","nkiras2","24hpf",1041
"42634","nkiras2","3Month",11508
"42635","nkiras2","72hpf",3371
"42636","nkrf","21Day",2404
"42637","nkrf","22Month",6320
"42638","nkrf","24hpf",1221
"42639","nkrf","3Month",11194
"42640","nkrf","72hpf",5290
"42641","nktr","21Day",5553
"42642","nktr","22Month",18675
"42643","nktr","24hpf",4532
"42644","nktr","3Month",39072
"42645","nktr","72hpf",8732
"42646","nkx1.2la","21Day",3
"42647","nkx1.2la","22Month",35
"42648","nkx1.2la","24hpf",25
"42649","nkx1.2la","3Month",10
"42650","nkx1.2la","72hpf",39
"42651","nkx2.1","21Day",273
"42652","nkx2.1","22Month",108
"42653","nkx2.1","24hpf",275
"42654","nkx2.1","3Month",84
"42655","nkx2.1","72hpf",969
"42656","nkx2.2a","21Day",660
"42657","nkx2.2a","22Month",526
"42658","nkx2.2a","24hpf",857
"42659","nkx2.2a","3Month",813
"42660","nkx2.2a","72hpf",3652
"42661","nkx2.2b","21Day",57
"42662","nkx2.2b","22Month",16
"42663","nkx2.2b","24hpf",364
"42664","nkx2.2b","3Month",14
"42665","nkx2.2b","72hpf",245
"42666","nkx2.3","21Day",281
"42667","nkx2.3","22Month",396
"42668","nkx2.3","24hpf",94
"42669","nkx2.3","3Month",914
"42670","nkx2.3","72hpf",613
"42671","nkx2.4a","21Day",532
"42672","nkx2.4a","22Month",38
"42673","nkx2.4a","24hpf",1159
"42674","nkx2.4a","3Month",33
"42675","nkx2.4a","72hpf",2376
"42676","nkx2.4b","21Day",62
"42677","nkx2.4b","22Month",2
"42678","nkx2.4b","24hpf",269
"42679","nkx2.4b","3Month",12
"42680","nkx2.4b","72hpf",277
"42681","nkx2.5","21Day",46
"42682","nkx2.5","22Month",69
"42683","nkx2.5","24hpf",69
"42684","nkx2.5","3Month",69
"42685","nkx2.5","72hpf",74
"42686","nkx2.7","21Day",33
"42687","nkx2.7","22Month",21
"42688","nkx2.7","24hpf",191
"42689","nkx2.7","3Month",238
"42690","nkx2.7","72hpf",104
"42691","nkx2.9","21Day",67
"42692","nkx2.9","22Month",25
"42693","nkx2.9","24hpf",593
"42694","nkx2.9","3Month",129
"42695","nkx2.9","72hpf",186
"42696","nkx3-1","21Day",823
"42697","nkx3-1","22Month",1437
"42698","nkx3-1","24hpf",821
"42699","nkx3-1","3Month",13930
"42700","nkx3-1","72hpf",167
"42701","nkx3.2","21Day",510
"42702","nkx3.2","22Month",633
"42703","nkx3.2","24hpf",293
"42704","nkx3.2","3Month",1707
"42705","nkx3.2","72hpf",2529
"42706","nkx6.1","21Day",532
"42707","nkx6.1","22Month",239
"42708","nkx6.1","24hpf",1897
"42709","nkx6.1","3Month",227
"42710","nkx6.1","72hpf",7108
"42711","nkx6.2","21Day",233
"42712","nkx6.2","22Month",764
"42713","nkx6.2","24hpf",1580
"42714","nkx6.2","3Month",702
"42715","nkx6.2","72hpf",1445
"42716","nle1","21Day",3340
"42717","nle1","22Month",7803
"42718","nle1","24hpf",1284
"42719","nle1","3Month",7405
"42720","nle1","72hpf",2488
"42721","nlgn1","21Day",216
"42722","nlgn1","22Month",40
"42723","nlgn1","24hpf",8
"42724","nlgn1","3Month",85
"42725","nlgn1","72hpf",416
"42726","nlgn2a","21Day",496
"42727","nlgn2a","22Month",379
"42728","nlgn2a","24hpf",44
"42729","nlgn2a","3Month",649
"42730","nlgn2a","72hpf",1544
"42731","nlgn3a","21Day",791
"42732","nlgn3a","22Month",268
"42733","nlgn3a","24hpf",81
"42734","nlgn3a","3Month",246
"42735","nlgn3a","72hpf",1893
"42736","nlgn3b","21Day",2479
"42737","nlgn3b","22Month",343
"42738","nlgn3b","24hpf",105
"42739","nlgn3b","3Month",1012
"42740","nlgn3b","72hpf",8616
"42741","nlgn4a","21Day",1503
"42742","nlgn4a","22Month",435
"42743","nlgn4a","24hpf",177
"42744","nlgn4a","3Month",459
"42745","nlgn4a","72hpf",4288
"42746","nlk1","21Day",3325
"42747","nlk1","22Month",6477
"42748","nlk1","24hpf",2082
"42749","nlk1","3Month",13029
"42750","nlk1","72hpf",14136
"42751","nln","21Day",1302
"42752","nln","22Month",1198
"42753","nln","24hpf",148
"42754","nln","3Month",3965
"42755","nln","72hpf",1582
"42756","nlrc3","21Day",1383
"42757","nlrc3","22Month",1693
"42758","nlrc3","24hpf",46
"42759","nlrc3","3Month",6413
"42760","nlrc3","72hpf",554
"42761","nlrc3l","21Day",189
"42762","nlrc3l","22Month",1309
"42763","nlrc3l","24hpf",39
"42764","nlrc3l","3Month",1485
"42765","nlrc3l","72hpf",185
"42766","nlrc3l1","21Day",1077
"42767","nlrc3l1","22Month",1591
"42768","nlrc3l1","24hpf",650
"42769","nlrc3l1","3Month",2705
"42770","nlrc3l1","72hpf",790
"42771","nlrc5","21Day",49
"42772","nlrc5","22Month",1653
"42773","nlrc5","24hpf",17
"42774","nlrc5","3Month",2390
"42775","nlrc5","72hpf",22
"42776","nlrc6","21Day",259
"42777","nlrc6","22Month",2008
"42778","nlrc6","24hpf",40
"42779","nlrc6","3Month",2749
"42780","nlrc6","72hpf",119
"42781","nlrp16","21Day",410
"42782","nlrp16","22Month",550
"42783","nlrp16","24hpf",44
"42784","nlrp16","3Month",1902
"42785","nlrp16","72hpf",570
"42786","nlrx1","21Day",392
"42787","nlrx1","22Month",1995
"42788","nlrx1","24hpf",235
"42789","nlrx1","3Month",3208
"42790","nlrx1","72hpf",582
"42791","nmd3","21Day",1195
"42792","nmd3","22Month",4222
"42793","nmd3","24hpf",514
"42794","nmd3","3Month",3042
"42795","nmd3","72hpf",836
"42796","nme2a","21Day",3097
"42797","nme2a","22Month",958
"42798","nme2a","24hpf",38
"42799","nme2a","3Month",2254
"42800","nme2a","72hpf",507
"42801","nme2b.1","21Day",163994
"42802","nme2b.1","22Month",1754477
"42803","nme2b.1","24hpf",49564
"42804","nme2b.1","3Month",1293269
"42805","nme2b.1","72hpf",143270
"42806","nme2b.2","21Day",11184
"42807","nme2b.2","22Month",8396
"42808","nme2b.2","24hpf",303
"42809","nme2b.2","3Month",18224
"42810","nme2b.2","72hpf",8225
"42811","nme3","21Day",4335
"42812","nme3","22Month",7336
"42813","nme3","24hpf",3033
"42814","nme3","3Month",15349
"42815","nme3","72hpf",6511
"42816","nme4","21Day",614
"42817","nme4","22Month",97607
"42818","nme4","24hpf",85
"42819","nme4","3Month",179018
"42820","nme4","72hpf",957
"42821","nme5","21Day",445
"42822","nme5","22Month",1275
"42823","nme5","24hpf",355
"42824","nme5","3Month",7689
"42825","nme5","72hpf",972
"42826","nme6","21Day",476
"42827","nme6","22Month",2471
"42828","nme6","24hpf",195
"42829","nme6","3Month",4048
"42830","nme6","72hpf",658
"42831","nme7","21Day",1455
"42832","nme7","22Month",1554
"42833","nme7","24hpf",1918
"42834","nme7","3Month",5471
"42835","nme7","72hpf",3762
"42836","nme8","21Day",72
"42837","nme8","22Month",287
"42838","nme8","24hpf",155
"42839","nme8","3Month",3936
"42840","nme8","72hpf",191
"42841","nmnat1","21Day",321
"42842","nmnat1","22Month",3105
"42843","nmnat1","24hpf",235
"42844","nmnat1","3Month",4431
"42845","nmnat1","72hpf",314
"42846","nmrk2","21Day",2371
"42847","nmrk2","22Month",19145
"42848","nmrk2","24hpf",323
"42849","nmrk2","3Month",31703
"42850","nmrk2","72hpf",1035
"42851","nmt1a","21Day",10697
"42852","nmt1a","22Month",16262
"42853","nmt1a","24hpf",7518
"42854","nmt1a","3Month",17786
"42855","nmt1a","72hpf",19865
"42856","nmt1b","21Day",7813
"42857","nmt1b","22Month",318
"42858","nmt1b","24hpf",116
"42859","nmt1b","3Month",695
"42860","nmt1b","72hpf",4254
"42861","nmt2","21Day",556
"42862","nmt2","22Month",1119
"42863","nmt2","24hpf",552
"42864","nmt2","3Month",2709
"42865","nmt2","72hpf",1056
"42866","nnr","21Day",12
"42867","nnr","22Month",94
"42868","nnr","24hpf",77
"42869","nnr","3Month",122
"42870","nnr","72hpf",34
"42871","nnt","21Day",17061
"42872","nnt","22Month",21476
"42873","nnt","24hpf",15969
"42874","nnt","3Month",33469
"42875","nnt","72hpf",39677
"42876","noa1","21Day",1764
"42877","noa1","22Month",2826
"42878","noa1","24hpf",1221
"42879","noa1","3Month",4225
"42880","noa1","72hpf",1701
"42881","nob1","21Day",799
"42882","nob1","22Month",1885
"42883","nob1","24hpf",401
"42884","nob1","3Month",2100
"42885","nob1","72hpf",552
"42886","noc2l","21Day",8656
"42887","noc2l","22Month",17231
"42888","noc2l","24hpf",5579
"42889","noc2l","3Month",14552
"42890","noc2l","72hpf",5505
"42891","noc3l","21Day",3315
"42892","noc3l","22Month",10037
"42893","noc3l","24hpf",2051
"42894","noc3l","3Month",14021
"42895","noc3l","72hpf",2733
"42896","noc4l","21Day",3930
"42897","noc4l","22Month",9387
"42898","noc4l","24hpf",2312
"42899","noc4l","3Month",8107
"42900","noc4l","72hpf",2982
"42901","nocta","21Day",4720
"42902","nocta","22Month",145649
"42903","nocta","24hpf",548
"42904","nocta","3Month",154958
"42905","nocta","72hpf",2514
"42906","noctb","21Day",24
"42907","noctb","22Month",70
"42908","noctb","24hpf",11
"42909","noctb","3Month",65
"42910","noctb","72hpf",26
"42911","nod2","21Day",542
"42912","nod2","22Month",2623
"42913","nod2","24hpf",101
"42914","nod2","3Month",5274
"42915","nod2","72hpf",304
"42916","nog1","21Day",341
"42917","nog1","22Month",254
"42918","nog1","24hpf",515
"42919","nog1","3Month",321
"42920","nog1","72hpf",659
"42921","nog2","21Day",622
"42922","nog2","22Month",408
"42923","nog2","24hpf",1568
"42924","nog2","3Month",612
"42925","nog2","72hpf",1719
"42926","nog3","21Day",715
"42927","nog3","22Month",457
"42928","nog3","24hpf",111
"42929","nog3","3Month",1718
"42930","nog3","72hpf",1329
"42931","nol10","21Day",7414
"42932","nol10","22Month",11376
"42933","nol10","24hpf",2869
"42934","nol10","3Month",16751
"42935","nol10","72hpf",5449
"42936","nol11","21Day",3895
"42937","nol11","22Month",5572
"42938","nol11","24hpf",1868
"42939","nol11","3Month",8029
"42940","nol11","72hpf",4901
"42941","nol12","21Day",3177
"42942","nol12","22Month",15134
"42943","nol12","24hpf",2008
"42944","nol12","3Month",15694
"42945","nol12","72hpf",2497
"42946","nol4la","21Day",381
"42947","nol4la","22Month",304
"42948","nol4la","24hpf",97
"42949","nol4la","3Month",769
"42950","nol4la","72hpf",339
"42951","nol6","21Day",4236
"42952","nol6","22Month",9658
"42953","nol6","24hpf",2513
"42954","nol6","3Month",9402
"42955","nol6","72hpf",4123
"42956","nol7","21Day",4775
"42957","nol7","22Month",22173
"42958","nol7","24hpf",3557
"42959","nol7","3Month",21712
"42960","nol7","72hpf",5097
"42961","nol8","21Day",2008
"42962","nol8","22Month",4409
"42963","nol8","24hpf",1036
"42964","nol8","3Month",5638
"42965","nol8","72hpf",1703
"42966","nol9","21Day",1875
"42967","nol9","22Month",4685
"42968","nol9","24hpf",1533
"42969","nol9","3Month",7067
"42970","nol9","72hpf",4121
"42971","nolc1","21Day",34133
"42972","nolc1","22Month",17629
"42973","nolc1","24hpf",33238
"42974","nolc1","3Month",14609
"42975","nolc1","72hpf",31937
"42976","nom1","21Day",2174
"42977","nom1","22Month",4351
"42978","nom1","24hpf",1736
"42979","nom1","3Month",5227
"42980","nom1","72hpf",1848
"42981","nomo","21Day",4477
"42982","nomo","22Month",9815
"42983","nomo","24hpf",1140
"42984","nomo","3Month",8501
"42985","nomo","72hpf",7528
"42986","nono","21Day",21916
"42987","nono","22Month",20381
"42988","nono","24hpf",17394
"42989","nono","3Month",25163
"42990","nono","72hpf",52609
"42991","nop10","21Day",20552
"42992","nop10","22Month",20725
"42993","nop10","24hpf",22382
"42994","nop10","3Month",26981
"42995","nop10","72hpf",16387
"42996","nop16","21Day",5937
"42997","nop16","22Month",26103
"42998","nop16","24hpf",4737
"42999","nop16","3Month",25191
"43000","nop16","72hpf",4671
"43001","nop2","21Day",10053
"43002","nop2","22Month",17481
"43003","nop2","24hpf",8769
"43004","nop2","3Month",16869
"43005","nop2","72hpf",7928
"43006","nop53","21Day",38553
"43007","nop53","22Month",417449
"43008","nop53","24hpf",12352
"43009","nop53","3Month",366091
"43010","nop53","72hpf",33557
"43011","nop56","21Day",102181
"43012","nop56","22Month",205183
"43013","nop56","24hpf",48922
"43014","nop56","3Month",235958
"43015","nop56","72hpf",96061
"43016","nop58","21Day",40550
"43017","nop58","22Month",108520
"43018","nop58","24hpf",36387
"43019","nop58","3Month",108112
"43020","nop58","72hpf",38762
"43021","nos1","21Day",93
"43022","nos1","22Month",293
"43023","nos1","24hpf",241
"43024","nos1","3Month",365
"43025","nos1","72hpf",877
"43026","nos1apa","21Day",750
"43027","nos1apa","22Month",3067
"43028","nos1apa","24hpf",910
"43029","nos1apa","3Month",5401
"43030","nos1apa","72hpf",1943
"43031","nosip","21Day",2379
"43032","nosip","22Month",8330
"43033","nosip","24hpf",1661
"43034","nosip","3Month",15503
"43035","nosip","72hpf",4813
"43036","notch1a","21Day",4795
"43037","notch1a","22Month",7604
"43038","notch1a","24hpf",10000
"43039","notch1a","3Month",11345
"43040","notch1a","72hpf",19095
"43041","notch1b","21Day",622
"43042","notch1b","22Month",505
"43043","notch1b","24hpf",623
"43044","notch1b","3Month",488
"43045","notch1b","72hpf",1116
"43046","notch2","21Day",10950
"43047","notch2","22Month",21687
"43048","notch2","24hpf",2420
"43049","notch2","3Month",38383
"43050","notch2","72hpf",13145
"43051","notch3","21Day",10661
"43052","notch3","22Month",5652
"43053","notch3","24hpf",11345
"43054","notch3","3Month",11136
"43055","notch3","72hpf",38049
"43056","notchl","21Day",189
"43057","notchl","22Month",2331
"43058","notchl","24hpf",31
"43059","notchl","3Month",3487
"43060","notchl","72hpf",386
"43061","noto","21Day",29
"43062","noto","22Month",68
"43063","noto","24hpf",304
"43064","noto","3Month",29
"43065","noto","72hpf",98
"43066","notum1b","21Day",1589
"43067","notum1b","22Month",529
"43068","notum1b","24hpf",778
"43069","notum1b","3Month",897
"43070","notum1b","72hpf",2184
"43071","nova1","21Day",332
"43072","nova1","22Month",85
"43073","nova1","24hpf",81
"43074","nova1","3Month",274
"43075","nova1","72hpf",1241
"43076","nova2","21Day",41918
"43077","nova2","22Month",8437
"43078","nova2","24hpf",39816
"43079","nova2","3Month",7572
"43080","nova2","72hpf",235202
"43081","nox1","21Day",288
"43082","nox1","22Month",1103
"43083","nox1","24hpf",38
"43084","nox1","3Month",899
"43085","nox1","72hpf",148
"43086","noxo1a","21Day",2482
"43087","noxo1a","22Month",7401
"43088","noxo1a","24hpf",4230
"43089","noxo1a","3Month",7421
"43090","noxo1a","72hpf",11881
"43091","noxo1b","21Day",165
"43092","noxo1b","22Month",1288
"43093","noxo1b","24hpf",242
"43094","noxo1b","3Month",1577
"43095","noxo1b","72hpf",546
"43096","noxred1","21Day",17
"43097","noxred1","22Month",67
"43098","noxred1","24hpf",26
"43099","noxred1","3Month",874
"43100","noxred1","72hpf",26
"43101","npas1","21Day",1038
"43102","npas1","22Month",247
"43103","npas1","24hpf",999
"43104","npas1","3Month",199
"43105","npas1","72hpf",8226
"43106","npas4a","21Day",6443
"43107","npas4a","22Month",3996
"43108","npas4a","24hpf",263
"43109","npas4a","3Month",2061
"43110","npas4a","72hpf",1181
"43111","npat","21Day",1895
"43112","npat","22Month",1906
"43113","npat","24hpf",1357
"43114","npat","3Month",4047
"43115","npat","72hpf",3340
"43116","npb","21Day",616
"43117","npb","22Month",1072
"43118","npb","24hpf",1716
"43119","npb","3Month",1069
"43120","npb","72hpf",1149
"43121","npc1","21Day",6456
"43122","npc1","22Month",41445
"43123","npc1","24hpf",1762
"43124","npc1","3Month",60394
"43125","npc1","72hpf",7212
"43126","npc2","21Day",16333
"43127","npc2","22Month",112314
"43128","npc2","24hpf",2761
"43129","npc2","3Month",221187
"43130","npc2","72hpf",12535
"43131","npdc1b","21Day",1196
"43132","npdc1b","22Month",3003
"43133","npdc1b","24hpf",56
"43134","npdc1b","3Month",793
"43135","npdc1b","72hpf",2648
"43136","npepl1","21Day",8724
"43137","npepl1","22Month",43504
"43138","npepl1","24hpf",3589
"43139","npepl1","3Month",55948
"43140","npepl1","72hpf",10922
"43141","npepps","21Day",7003
"43142","npepps","22Month",15631
