gene	21Day	22Month	24hpf	3Month	72hpf
focad	1290	1286	848	1922	1608
fopnl	1329	1696	574	3800	1556
fosab	290507	1970385	219689	2859654	508087
fosb	29181	133636	6117	251443	30881
fosl1a	74485	682716	10813	462139	112994
fosl2	50872	77356	9684	80571	48780
foxa	382	1123	477	2449	408
foxa1	1270	17504	1181	19821	3156
foxa2	1059	4397	921	4582	2014
foxa3	742	40664	328	41735	1467
foxb1a	892	75	1543	95	2808
foxb1b	79	4	1077	23	572
foxc1a	2611	734	1707	1861	5304
foxc1b	3183	1556	1169	7715	10157
foxd1	1731	726	1621	1512	3964
foxd2	947	580	530	1248	1602
foxd3	453	79	937	171	3865
foxd5	237	192	598	204	573
foxe3	62	387	106	411	140
foxf1	198	71	20	454	327
foxf2a	1496	610	240	2442	3352
foxf2b	434	655	70	1505	906
foxg1a	2971	425	919	498	5510
foxg1b	3508	1510	322	752	10875
foxg1d	289	108	63	156	1057
foxh1	0	149	37	47	6
foxi1	134	146	510	140	422
foxi3a	877	501	117	849	738
foxi3b	486	382	131	1250	636
foxj1a	431	2024	663	9471	2545
foxj1b	173	704	248	2667	331
foxj2	761	341	120	744	452
foxj3	7246	9065	1587	10854	14506
foxk1	2886	11292	893	19092	3344
foxk2	8684	13912	4178	15821	20552
foxl1	992	378	108	648	1343
foxl2b	6	102	5	139	3
foxm1	1743	427	2112	7358	4581
foxn2b	2504	6961	921	7040	2606
foxn3	1089	2198	119	1899	889
foxn4	2398	318	573	1781	17882
foxo1a	9244	30901	332	41481	6357
foxo3a	2914	1659	1019	2444	6748
foxo3b	12506	11420	726	18489	15559
foxo4	7631	21199	1104	24944	13326
foxp1a	4142	10510	2338	17705	5849
foxp1b	654	984	315	1062	1117
foxp2	5119	287	866	550	21378
foxp3b	27	149	36	813	20
foxp4	21766	6562	19373	8079	57257
foxq1a	9255	7722	356	44620	13927
foxq1b	4376	3155	99	13803	1734
foxred1	1884	5177	463	6091	1472
foxred2	236	419	101	604	355
fpgs	4824	25327	932	30030	4359
fpgt	412	772	41	1328	280
fpr1	581	1058	55	3415	587
fra10ac1	689	3228	989	11087	1795
fras1	1398	995	2657	2088	5452
frem1a	52	210	49	272	115
frem1b	857	1197	1190	4454	2005
frem2a	1609	897	4270	1392	9356
frem2b	293	248	100	623	913
frem3	54	263	528	330	658
frg1	1564	8404	1659	17821	2695
frk	60	400	30	622	82
frmd4ba	5538	9412	962	13426	9015
frmd5	261	365	163	416	642
frmd6	3642	16442	1133	10313	5571
frmd8	1379	6456	593	9066	2038
frmpd1b	3090	404	857	712	14172
frmpd3	538	322	79	468	2872
frs2a	125	188	45	405	154
frs2b	3363	2659	3807	5148	6950
frs3	180	149	19	161	236
frya	975	4665	41	4116	1010
fryb	3632	2035	320	4469	10556
fryl	8556	20025	1510	40373	7956
frzb	988	7984	41	13833	848
fsbp	97	92	78	210	344
fscn1a	18877	5812	14464	8645	67347
fscn1b	567	167	24	453	607
fscn2b	665	292	126	288	1314
fsd1	160	64	80	248	542
fsta	1038	565	1464	1278	1987
fstb	2241	6442	101	9823	3301
fstl1a	345	1209	2745	1825	3995
fstl1b	12076	7908	3512	27739	19927
fstl3	10783	15187	77	18324	3401
fstl4	191	1056	14	917	654
ftcd	1036	203201	78	308023	2441
fth1a	72985	466470	19719	904226	72585
fth1b	1672	2134	317	7861	2009
fto	1238	956	320	1348	1646
ftr02	88	875	24	1143	86
ftr14	181	1440	78	3439	103
ftr23	174	563	136	1021	269
ftr24	65	149	61	589	36
ftr43	476	3845	36	918	1304
ftr51	571	2500	447	5784	1082
ftr64	112	1078	32	1845	136
ftr67	2216	12125	463	22578	3673
ftr82	1935	37038	833	31544	3661
ftr83	3973	2232	1036	13895	6109
ftr86	6534	2090	3047	5672	11190
ftr93	118	2938	5	3079	40
ftsj1	1724	2669	1103	5444	1947
ftsj3	3349	2966	1815	2352	1741
fubp1	33599	56621	13529	84324	67851
fubp3	5797	5784	1686	9374	5815
fuca1.1	7283	11642	3133	42245	17850
fuca1.2	789	2150	792	4411	1366
fuca2	4104	28799	1034	59773	3750
fuk	488	6618	129	14612	869
fundc1	2434	10995	1697	28500	9648
fundc2	3794	20034	2167	32223	4759
fuom	367	7331	288	7119	267
furina	1566	10570	356	9897	1793
furinb	1343	6183	288	12637	3520
fus	6114	11457	4641	18061	23051
fut10	77	157	34	406	70
fut11	380	1375	327	1443	676
fut7	63	1082	33	1906	27
fut8a	5997	4261	2209	6766	13746
fut9b	719	1117	193	1912	1265
fut9d	185	28	104	6	22341
fxn	727	1321	328	2636	682
fxr1	4029	10488	2065	16240	6896
fxr2	11204	12089	6520	14339	18458
fxyd1	10845	168391	1757	320346	10815
fxyd6l	6585	10451	6793	35535	18549
fybb	6387	26006	1838	40354	1773
fyco1a	281	544	139	844	497
fyco1b	111	232	16	360	98
fyna	1613	888	368	2450	8526
fynb	182	219	48	329	251
fzd10	1443	1010	2412	5682	2478
fzd2	3012	1617	1258	3790	5864
fzd3a	5969	757	8453	1888	18852
fzd3b	70	254	14	528	111
fzd4	2898	2484	2297	4727	5925
fzd5	53	201	73	321	113
fzd7a	4630	2726	7240	5463	13730
fzd7b	2715	5701	1773	3235	5252
fzd8a	1775	16094	1454	13300	3698
fzd8b	173	622	188	1695	506
fzd9b	327	81	127	239	485
fzr1a	3506	5334	2877	10808	9444
fzr1b	529	597	137	2587	2965
g0s2	2983	369957	52	475900	1008
g2e3	1582	1676	3077	10654	6006
g3bp1	22638	55781	15276	46456	33726
g3bp2	10296	8080	2312	17622	23796
g6pc3	728	2657	330	4585	923
g6pca.2	5976	453405	15	409132	796
g6pd	2390	23839	558	30427	2000
gaa	400	383	279	808	323
gab1	5401	6933	4310	10241	9632
gabarapa	17756	56138	4487	71135	21313
gabarapb	30397	52116	15681	76011	60000
gabarapl2	4770	40092	1199	60697	9169
gabbr1a	26	78	5	62	45
gabbr1b	170	103	19	188	299
gabpa	4406	13888	3483	25396	10482
gabpb1	402	1718	438	5905	1183
gabpb2a	1009	2945	1024	4188	1375
gabpb2b	290	497	201	1642	311
gabrb1	367	193	59	701	326
gabrb3	723	146	18	148	551
gabrr2b	124	197	28	1852	165
gad2	5025	1184	69	822	9932
gadd45aa	9466	81266	676	91850	2081
gadd45ab	5962	20960	1413	50521	8753
gadd45ba	52268	812607	9220	1191758	48522
gadd45bb	13308	189605	2903	160249	16381
gadd45ga	7605	248761	3884	259014	13081
gadd45gb.1	749	125	975	184	4692
gadd45gip1	4538	32845	2059	33349	6003
gak	4387	10961	959	11457	6467
gal3st1a	422	1019	57	1579	420
gal3st3	2250	1313	76	1903	5616
gal3st4	997	762	490	1924	3573
galca	91	732	43	899	131
galcb	593	3695	478	9070	1167
gale	4890	12887	1442	16483	5339
galk1	835	4059	420	11914	990
galk2	327	2702	156	2276	356
galm	864	6741	440	12380	846
galns	1079	2896	406	3196	1011
galnt1	2707	8391	556	13300	4029
galnt10	42	171	22	279	33
galnt11	2277	14095	933	33254	3329
galnt12	122	186	46	473	116
galnt13	153	388	23	629	382
galnt14	1087	6287	133	7572	2580
galnt17	334	307	23	792	602
galnt18b	361	428	61	1594	1112
galnt2	4520	5574	1171	7344	5473
galnt6	4120	7375	858	19549	3214
galnt7	17062	37681	7457	61907	15793
galnt8a.2	41	36	11	206	9
galnt8b.1	103	236	40	1167	33
galt	752	2287	272	4093	860
gamt	21633	233462	1994	903142	6038
ganab	6706	11946	2529	12004	13540
ganc	487	3572	16	3922	255
gap43	7017	752	761	1237	39104
gapdh	29506	1033491	1774	1009437	20655
gapdhs	107616	235580	9484	274229	144414
gapvd1	1633	4838	599	8956	3441
gar1	22189	71094	12341	67903	21649
garem	811	2691	435	6329	1239
gars	29761	38680	9714	37642	43142
gart	621	1615	456	2594	641
gas1a	3128	2123	2850	5356	5264
gas1b	1820	2246	3216	3516	3891
gas2b	552	351	17	849	823
gas2l1	2933	2383	504	4958	4981
gas2l3	71	78	36	114	120
gas6	1325	4628	1567	9142	2989
gas7a	631	156	174	190	2011
gas8	744	1313	1096	13300	1584
gata1a	7685	606	263	712	2586
gata2a	5010	17609	1907	73611	15888
gata3	31885	10293	3169	27582	46667
gata4	27	348	46	259	46
gata5	361	4631	526	5538	767
gata6	716	25682	355	19968	882
gatad1	495	325	279	1330	553
gatad2ab	8861	14142	6644	12335	15002
gatad2b	246	113	35	173	402
gatb	773	2493	400	4976	1057
gatd1	1510	2082	1227	3420	3018
gatm	12799	43684	789	370720	4854
gatsl2	3988	8029	764	12675	6063
gb:ai877918	102	51	112	44	125
gb:bc139872	1390	12999	576	16384	2291
gb:cr929477	81	47	42	168	188
gb:eh507706	624	722	185	1763	714
gba	548	6224	120	7392	714
gba2	529	4574	186	6120	703
gbf1	3560	10111	780	11852	4545
gbgt1l4	2233	426	973	2578	2356
gbp	11024	12630	3015	23103	12793
gbp1	1040	14806	187	25297	510
gbp3	450	3460	160	8775	649
gbx1	287	46	1928	42	2264
gbx2	767	104	556	238	3481
gcat	4767	16122	1569	36015	3129
gcc1	247	576	97	1250	241
gcdha	3911	48914	336	73436	1855
gcdhb	696	10510	139	27913	681
gcfc2	805	2502	494	4457	1277
gcga	9183	44251	125	82637	6693
gch1	7228	49043	298	112591	3157
gch2	5644	769	9138	1993	23152
gchfr	1699	18062	91	36567	1037
gclc	3893	24230	1361	17331	5309
gclm	1630	15467	1084	16342	2950
gcm2	727	1377	77	4086	473
gcn1	1331	2433	443	2338	1678
gcna	946	1267	2916	3158	2186
gcnt3	190	1551	51	5666	40
gcnt4a	1592	5911	409	11202	2181
gcnt4b	20	154	18	121	6
gcnt7	389	3501	29	4607	294
gcsha	9136	19279	5667	30570	11413
gcshb	3737	35404	183	69920	2338
gda	1675	59704	24	76501	100
gdap2	818	4845	461	4430	1385
gde1	1149	9648	271	14624	1083
gdf10a	63	89	45	185	167
gdf11	43	21	159	18	397
gdf3	68	843	162	833	170
gdf6a	140	151	154	296	249
gdf7	37	95	20	85	61
gdi1	5729	2780	2050	4285	20420
gdi2	33483	94103	17890	133463	49931
gdnfa	176	543	80	874	176
gdpd1	1022	7685	169	21417	1834
gdpd2	2355	5667	437	18191	3562
gdpd3a	2508	4140	426	23406	2154
gdpd4b	542	356	1212	821	1094
gdpd5a	374	1192	104	1465	518
gdpd5b	1033	4720	315	8795	2534
gem	392	375	124	849	460
gemin2	3571	14890	2361	21147	4413
gemin4	894	1707	652	1523	1055
gemin5	3203	3270	1125	3962	3013
gemin6	1266	2804	379	6085	891
gemin7	2271	6747	1460	8689	2417
gemin8	6186	10702	3816	17323	6394
get4	6030	35673	2274	38542	7881
gfap	1534	1319	5970	1273	9213
gfer	3617	12165	1350	19596	3969
gfi1ab	74	51	40	157	69
gfm1	4655	34309	1712	29371	4666
gfm2	538	1823	312	3534	1093
gfod2	614	2895	374	5221	1528
gfpt1	445	421	67	622	432
gfra1a	50	143	13	108	70
gfra3	599	689	172	1340	1522
gfra4a	116	168	15	456	207
gfra4b	166	151	53	273	535
gga1	9062	10805	4180	16129	11289
gga3	98	134	30	288	103
ggact.1	95	4800	7	8588	55
ggact.2	152	11762	577	15407	428
ggact.3	2	517	114	253	27
ggcta	589	3521	233	3137	833
ggctb	2739	2946	710	12271	3761
ggcx	4773	19534	1907	19361	6525
ggh	1392	6399	349	9798	1083
ggnbp2	8751	18083	4412	29021	15067
ggps1	5418	60589	594	67992	7729
ggt1a	1030	1283	19	662	48
ggt5a	1169	687	638	1301	2542
ghdc	351	2965	45	5722	145
ghra	858	1180	294	1027	1065
ghrb	1168	14470	153	22564	830
ghsra	1	0	0	2	0
gid8a	1538	1758	1209	4174	3958
gid8b	3072	10062	2267	16955	5378
gig2o	348	5644	22	5601	123
gigyf1a	494	316	160	469	616
gigyf1b	6527	13612	3449	19781	14287
gigyf2	5717	7734	2379	9440	7820
ginm1	8620	61724	1273	73405	9115
gins1	1564	2203	2256	7825	1898
gins2	2542	1513	2603	7820	2162
gins3	2811	1516	3643	6731	3521
gins4	3012	6002	2172	17905	4094
gipc2	4241	22753	327	43364	2742
gipc3	195	262	46	747	403
git1	2369	4086	1079	6172	5084
git2a	143	261	45	549	242
git2b	3112	2136	699	5751	5819
gjd2b	310	142	12	95	245
gk5	2154	8124	562	12623	1722
gkap1	5138	10283	4999	25475	8337
gkup	1198	8566	133	19217	990
gla	96	612	90	1383	104
glb1	603	1560	490	1237	1008
glb1l	2943	10761	4240	14455	4306
glcci1a	2179	3878	138	5475	2280
glceb	1099	2764	660	4824	2671
gldc	655	4295	279	8179	355
gle1	1489	4538	838	8948	1814
glg1a	4389	11761	1220	13405	8941
glg1b	84	398	35	213	173
gli1	995	707	1384	1319	2696
gli2a	1683	951	1944	1993	3562
gli2b	99	73	102	139	92
gli3	1831	1195	1922	1654	3712
glipr1a	581	8949	456	14526	250
glipr2	1124	5037	340	8215	738
glipr2l	1432	4866	414	6195	3102
glis2a	881	2062	67	5428	511
glmna	1462	2897	841	5392	2822
glmp	2096	10818	528	15756	2176
glo1	11568	47948	2809	75428	9930
glod4	1118	8844	554	15731	1119
glod5	2832	46059	962	71348	3509
glra1	472	801	9	853	1817
glra3	176	81	19	158	324
glrbb	1758	248	46	172	6359
glrx	12501	58683	3280	111913	8394
glrx2	452	6911	117	11489	698
glrx3	9390	22400	7151	32256	13702
glrx5	8067	26740	4573	43267	7628
glsa	97	61	15	82	159
glsb	3337	13046	264	14469	2005
glsl	349	320	131	1274	248
glt8d1	709	4269	431	4093	956
glud1a	7625	14763	849	29792	5193
glud1b	27743	185814	2193	333215	26414
glula	30140	49005	2149	35878	7889
glulb	60676	80795	25563	145152	57947
glyctk	686	14934	285	29987	1065
glyr1	5574	11425	2746	17047	10269
gm2a	2603	9945	1372	21879	2705
gmcl1	587	1468	221	2743	1321
gmds	10551	41860	3352	38384	12130
gmeb1	2136	10174	919	12014	4028
gmfb	18813	13890	10362	30634	27285
gmip	127	350	26	495	26
gmnn	2147	15664	2543	17039	2975
gmppaa	2988	8344	756	19542	3548
gmppab	3811	17899	712	16275	4423
gmppb	10590	35249	2098	38461	10731
gmpr2	2189	11928	202	14404	1717
gmps	10852	7400	9715	7099	14487
gna11a	210	47	58	166	188
gna11b	5623	3588	1947	2484	11170
gna12a	1952	4887	805	5822	3078
gna13a	57	438	29	1035	27
gna13b	113	248	65	545	78
gna14	1052	479	221	1824	1742
gnai1	9376	54049	4838	65056	12064
gnai2a	20853	34128	7682	38004	24991
gnai2b	1736	12398	355	5773	2286
gnai3	108	119	66	1227	131
gnaia	4211	13354	2934	26282	5019
gnal	627	2780	75	2671	829
gnal2	307	1204	87	2371	485
gnao1a	10623	1185	2536	1188	32933
gnao1b	4417	2491	290	5955	7228
gnas	2371	3136	1264	5052	3033
gnav1	242	1264	100	1791	421
gnb1a	87700	53296	49258	84048	151836
gnb1b	53057	52865	22174	55799	98092
gnb2	2760	1557	876	3741	5843
gnb4b	206	690	100	1372	215
gne	1022	6139	407	4827	1563
gng10	1375	2261	452	8070	793
gng12a	1870	8740	1095	6244	2686
gng13b	3106	1858	209	5473	11608
gng2	3681	5426	1392	14194	16763
gng3	8919	1571	230	2171	44426
gng5	19915	33316	13126	45124	27179
gng7	3254	2552	735	6628	6889
gnl1	1163	4690	504	5864	763
gnl2	7728	22915	3238	24552	6720
gnl3	28342	63598	16566	58188	19954
gnl3l	2740	11476	1801	13208	2707
gnmt	4241	81864	431	139171	2454
gnpat	43	170	18	572	30
gnpda1	1409	15809	949	34305	1748
gnpda2	1381	9088	1135	13431	3447
gnpnat1	5896	31611	468	102671	4683
gnptab	2036	5700	803	7111	2474
gnptg	1397	12354	972	18366	2948
gnsa	879	7706	432	14967	2799
gnsb	36	233	33	336	18
golga1	2585	8045	636	9150	3201
golga2	161	478	27	871	129
golga3	813	1547	151	2500	821
golga4	1617	1435	469	2666	1868
golga5	2425	21395	758	31775	4790
golga7	6018	17487	4464	32771	14286
golga7ba	1993	1359	420	2088	9484
golgb1	11317	7608	3586	12272	15886
golim4b	391	1365	167	1750	1022
golph3	3411	13375	1769	16893	6330
golph3l	4811	3404	853	9798	5353
golt1ba	1303	2146	246	1683	1091
golt1bb	10642	12062	5066	12196	15053
gon4l	2798	4745	1726	10809	6400
gopc	767	6200	267	8036	917
gorab	930	1550	442	3288	1347
gorasp1a	1702	4687	507	5982	2132
gorasp2	12587	15088	3905	14098	19737
gosr1	4330	20443	1427	34478	5588
gosr2	6105	15996	1829	17720	5047
got1	2765	9394	708	14771	2128
got1l1	47	159	22	629	101
got2a	6007	27135	287	41536	1645
got2b	10823	46053	3503	58844	12973
gp1bb	1543	614	196	726	1436
gpaa1	37	77	16	151	44
gpalpp1	2303	3490	1521	5493	4590
gpam	818	2837	103	2083	1331
gpank1	886	2793	374	3779	1510
gpat2	74	1845	20	9054	68
gpat3	3357	8712	1116	14028	3434
gpat4	2876	5764	1158	9167	7839
gpatch1	2249	14533	2005	34576	4622
gpatch11	2289	4567	2127	9730	5593
gpatch3	5538	10093	2399	14508	9863
gpatch4	3359	12756	2738	10444	3424
gpatch8	21462	28849	10036	45243	45246
gpbp1l1	1792	3151	651	5090	2156
gpc1b	2821	2600	343	8973	2420
gpc3	40	26	25	79	100
gpc4	6229	19031	3326	31115	12588
gpc5a	130	451	55	1092	292
gpcpd1	141	1444	82	2812	211
gpd1a	185	357	340	1744	806
gpd1b	6070	168121	1120	409894	5400
gpd1c	8042	46450	2404	87663	7816
gpd1l	451	352	192	704	442
gpd2	563	2867	81	5275	344
gphna	3096	1886	873	2755	5740
gphnb	695	370	14	410	1904
gpia	23724	142203	3507	175294	21348
gpkow	5691	8122	3700	14050	11637
gpm6aa	29320	3644	4981	4468	116816
gpm6ab	20268	15269	913	21194	83271
gpm6ba	167	62	31	100	423
gpm6bb	716	521	1470	1304	1680
gpn1	1984	8952	1397	15402	2358
gpn2	2424	5581	1633	10364	3863
gpn3	2330	3260	930	7472	2710
gpr107	2025	4958	843	8890	5103
gpr108	4459	20324	1898	23615	5966
gpr12	76	23	5	11	151
gpr132b	389	4277	25	5982	102
gpr137	1660	4862	261	7132	1451
gpr143	414	1380	957	1604	2275
gpr146	3659	32259	479	32841	2814
gpr155a	4536	8109	1520	7768	3452
gpr155b	10	17	4	12	10
gpr157	1240	2020	120	3986	1144
gpr160	104	755	84	2843	106
gpr161	284	647	461	394	746
gpr174	676	1129	147	1771	164
gpr182	509	774	253	1767	463
gpr183a	2044	12795	536	15771	301
gpr183b	11	204	16	426	1
gpr19	236	703	57	1080	552
gpr22a	248	1058	20	1553	695
gpr27	902	251	38	256	2936
gpr35.1	135	140	60	698	201
gpr37a	92	124	14	190	139
gpr37b	105	12	51	41	165
gpr39	1084	10185	67	8701	636
gpr63	617	1311	278	2289	1510
gpr65	29	326	32	634	7
gpr75	438	326	37	423	2223
gpr84	812	8762	115	36156	597
gpr85	1621	603	30	1024	5998
gprc5ba	154	114	44	83	248
gps1	8463	9612	5930	14965	14923
gps2	4017	7436	2296	12146	6636
gpsm1a	1895	1041	165	936	5629
gpsm1b	86	267	17	424	68
gpsm2	4935	9113	1445	17636	7049
gpsm2l	141	627	66	667	229
gpt2	3564	4492	1415	5612	4373
gpt2l	18441	107760	5100	123440	12422
gpx1a	24212	286534	7357	405096	14110
gpx1b	2195	51009	200	75786	744
gpx3	2821	69449	207	62619	2063
gpx4a	25402	953294	1322	986169	5889
gpx4b	18594	134803	7936	215192	26115
gpx7	278	80	396	531	903
gpx8	741	1271	1039	4914	1978
gra	93	1485	161	9314	134
gramd1a	1646	8155	641	9191	4263
gramd1c	1213	13819	175	28682	799
gramd2aa	807	1049	46	4311	927
gramd4b	2430	10088	500	13798	3410
grap2a	2009	11344	417	8955	661
grap2b	2773	19654	690	34101	406
grapa	1260	7866	345	12685	1539
grasp	2571	26028	964	43610	1432
grb10a	3931	2935	608	3519	3531
grb10b	1824	1873	235	1690	1176
grb2a	131	626	78	1305	183
grb2b	4969	25222	1941	27776	7583
grcc10	8158	5767	4402	7933	16597
greb1	204	2163	3739	447	2087
greb1l	293	7373	4078	7331	1752
grem1a	140	35	59	336	198
grem2b	1018	49	1416	349	3060
grhl1	180	632	36	533	195
grhl2a	864	636	334	4274	482
grhl2b	286	111	71	516	139
grhl3	3157	726	125	5201	832
grhpra	1169	3189	174	8501	690
grhprb	3482	276995	122	401100	2148
gria1a	1463	450	213	560	4950
gria1b	81	79	19	174	136
gria2a	69	135	9	93	148
gria2b	1427	385	21	522	3883
gria3b	292	177	46	111	945
gria4a	1244	557	28	984	2092
gria4b	193	44	10	57	596
grid1a	307	377	22	449	1125
grik1a	277	848	47	4125	329
grik5	451	240	18	333	2550
grin1a	2023	505	22	607	4516
grin2bb	778	546	24	781	1817
grin2da	882	613	87	1937	1943
grin2db	813	1447	14	1017	1903
grin3bb	51	92	110	178	134
grinaa	914	3527	53	3315	492
grinab	9267	50522	2950	52932	15520
grip1	239	72	56	45	399
grip2a	423	6489	128	2416	589
grip2b	70	324	15	185	74
gripap1	644	1222	181	2630	851
grk1a	953	4966	48	847	305
grk3	80	241	27	496	71
grk4	3166	7876	1360	19029	5218
grk5	168	156	118	1922	326
grk5l	368	321	44	691	375
grk6	485	1028	108	1815	430
grk7b	414	909	292	1736	1044
grm2b	549	493	371	481	1355
grm4	439	257	99	464	1689
grm6b	391	1172	89	1322	794
grna	1892	22100	284	35022	578
grnb	443	1977	467	1843	751
grp	182	1779	83	8064	948
grpel1	2716	25492	477	24216	2501
grpel2	320	1225	176	2314	461
grsf1	5445	16559	2973	16767	5298
grtp1a	3952	6073	572	11933	2485
grtp1b	283	429	22	1701	120
grwd1	5878	21956	2916	29759	5214
gsap	42	616	11	744	32
gsc	803	1120	62	2933	698
gsdmea	191	1935	43	5699	384
gsdmeb	420	636	87	2111	435
gse1	23029	6756	13514	10063	45996
gsk3aa	309	806	134	1616	902
gsk3ab	16500	14122	11009	23250	37386
gsk3b	5169	8347	2053	10066	8112
gskip	3618	20449	1624	22749	4659
gsna	6373	15682	1093	23556	8433
gsnb	4901	4792	2221	16830	13543
gspt1	2113	5871	771	6475	2616
gspt1l	32626	62324	15126	68122	39800
gsr	3639	48221	2756	49583	2751
gss	682	1950	147	2418	327
gsta.1	18795	95523	4037	149982	11464
gsta.2	1737	1648	41	3202	324
gstcd	1571	3610	501	4600	1416
gstk1	4111	55528	399	118278	2647
gstm.1	9756	50197	3389	94495	6782
gstm.2	2006	17870	199	24233	923
gstm.3	6930	12962	642	32251	3600
gsto1	850	9828	25	21459	222
gsto2	15370	36643	2628	83298	5706
gstp1	126203	266949	17901	485683	115129
gstr	17135	276164	2813	423524	11607
gstt1a	2939	191197	451	492877	6640
gstt1b	3755	45188	788	120679	4660
gstt2	792	6732	229	18630	637
gsx1	1865	18	3840	12	5115
gsx2	662	23	1213	24	1082
gtdc1	1018	1783	342	1502	848
gtf2a1	6813	15155	4325	51380	15799
gtf2a1l	134	427	39	517	212
gtf2a2	5905	9404	5833	21020	11342
gtf2b	9816	26350	3379	38420	19383
gtf2e1	1815	2976	1729	3849	3380
gtf2e2	4483	12386	2643	27869	7913
gtf2f1	10781	19638	9066	35461	15240
gtf2f2a	2676	18401	3123	47992	5008
gtf2h1	706	687	371	656	1208
gtf2h2	1375	1714	1212	3244	2353
gtf2h3	2007	4306	1565	8940	3135
gtf2h4	3041	6545	1568	12451	4952
gtf2h5	2473	4825	2093	12264	4509
gtf2ird1	1990	1968	429	3946	4789
gtf3aa	1634	2039	622	2655	1167
gtf3ab	3	436	5	269	7
gtf3c2	362	648	149	642	329
gtf3c3	2023	2877	1071	6409	3780
gtf3c4	767	1895	791	3310	1856
gtf3c5	1238	4454	1023	8369	2211
gtf3c6	281	2478	272	3511	409
gtpbp1	8244	28998	1968	15150	9423
gtpbp10	1436	4774	592	8334	1445
gtpbp1l	736	3557	258	4305	746
gtpbp2b	85	73	32	209	152
gtpbp3	117	1115	86	2329	122
gtpbp4	20471	333620	8711	282375	22199
gtpbp6	395	752	192	1961	566
gtse1	778	2214	1108	3105	1779
gucd1	2249	5531	1060	10287	3301
gucy1a1	1118	596	117	655	800
gucy2c	95	677	20	1594	30
guf1	1486	2599	461	2384	1361
guk1a	3254	11293	1440	17215	3779
gulp1a	1608	2954	841	3416	2081
gulp1b	277	719	566	1876	861
gusb	38490	35556	41266	52078	25821
gxylt1b	77	252	447	1423	464
gxylt2	125	180	100	574	154
gyg1a	7573	93534	920	58971	3848
gyg1b	7755	29575	45	84990	716
gys1	5595	6340	613	10899	3764
gzm3.2	20	86	14	142	22
gzm3.3	63	261	29	966	31
gzm3.4	68	250	73	351	120
h1f0	19473	32917	8855	112986	76989
h1fx	11876	68550	2447	119062	12611
h1m	37	4412	56	1438	83
h2afva	15240	22217	9948	60756	31344
h2afvb	47006	114047	53794	364532	105644
h2afx	9326	6352	8561	9469	8021
h2afx1	41423	63542	38481	87783	98106
h2afy	1277	14116	92	21550	921
h2afy2	23258	29895	10390	117494	59433
h3f3b.1	38285	121240	50783	209056	133322
h3f3c	58418	22360	55829	88846	191234
h3f3d	139355	458819	133732	717567	335066
h6pd	1458	39765	374	24017	1977
habp2	2248	179661	55	185729	176
hacd1	858	2951	502	1404	837
hacd2	10448	72248	3664	116128	17078
hacd3	2041	6968	1775	15951	3374
hace1	2243	7284	724	4687	3956
hacl1	764	6810	118	17156	795
hadh	8071	34144	3670	68039	8974
hadhaa	5914	35343	879	65735	7489
hadhab	6874	29133	1959	53061	10340
hagh	3885	40770	740	67802	3096
hamp	418	399561	301	275758	2084
hand2	1030	197	1008	703	3670
hapln1a	13694	39166	8526	74871	56160
hapln1b	2204	1019	637	925	4102
hapln3	77	587	134	701	417
harbi1	691	1124	526	2634	1667
hars	23311	61454	8994	47911	29511
has2	337	992	523	565	1047
hat1	17479	20795	12595	42114	24349
haus1	1121	1845	1653	6884	1542
haus3	1804	1072	1685	4996	2578
haus4	1587	731	2703	5929	3263
haus5	690	1283	795	9253	1050
haus6	1713	2700	1798	6000	4012
haus7	1421	2131	1981	4428	2707
havcr1	860	2754	1391	7998	1136
hax1	10495	45227	1257	52963	7570
hbae1	313587	165	2257	28	425420
hbae1.3	1219248	23	3522	93	739906
hbae3	584683	504	2863	251	978781
hbae5	57575	184	58	243	6283
hbbe1.1	379373	1	1468	11	506518
hbbe1.2	162003	30	670	0	374132
hbbe2	300430	281	418	454	152394
hbbe3	19	6	2404	10	55298
hbegfa	18907	226244	2973	195250	23414
hbegfb	1592	14912	348	18263	821
hbl1	249	1366	40	3645	184
hbp1	5573	19645	895	20447	6041
hbs1l	3811	15113	1715	19722	4873
hcar1-3	21	481	21	961	5
hccsa.1	2998	6536	708	6862	2220
hccsb	3594	19575	1370	15009	4057
hcfc1a	16834	10257	10040	15818	44497
hcfc1b	14625	6982	8525	14045	36047
hcfc2	133	256	101	201	103
hck	828	16603	488	22801	275
hcls1	10751	18472	3384	39057	8751
hcn1	105	45	6	15	106
hcn2b	850	432	387	448	1685
hdac1	40676	38998	34637	57837	95563
hdac10	922	2449	519	5818	1078
hdac12	382	1835	178	4681	705
hdac3	2944	7589	2285	14810	6668
hdac4	1511	1070	211	1715	1384
hdac5	1075	831	150	1071	2078
hdac6	977	3356	619	7899	2013
hdac8	1468	3372	1202	9349	3752
hdac9b	1373	8191	511	10200	1588
hdc	362	612	199	1236	849
hddc2	2707	8305	2788	25805	3396
hddc3	1583	6279	1928	20066	3128
hdgfl2	17301	7980	19746	11471	26739
hdhd2	1605	4038	825	8797	1861
hdhd3	228	1969	78	4784	365
hdlbpa	66076	339041	19175	279821	93018
hdlbpb	1093	2657	533	7452	3986
hdr	3553	2981	164	5063	1472
hdx	1253	990	751	2562	4311
he1.1	17	42	43189	17	2878
he1.2	4	7	36222	0	1495
